,player,last,01-05-20,01-12-20,01-19-20,01-26-20,02-02-20,02-09-20,02-16-20,02-22-20,02-23-20,03-01-20,03-08-20,06-14-20,06-21-20,06-28-20,07-05-20,07-12-20,07-19-20,07-25-20,08-09-20,08-16-20,08-23-20,08-30-20,09-07-20,09-13-20,09-20-20,09-27-20,10-04-20,10-11-20,10-18-20,10-25-20,11-01-20,11-08-20,11-15-20,11-22-20,12-06-20,01-10-21,01-17-21,01-24-21,01-30-21,02-07-21,02-14-21,02-21-21,02-27-21,02-28-21,03-07-21,03-14-21,03-21-21,03-28-21,04-04-21,04-11-21,04-18-21,05-02-21,05-09-21,05-16-21,Unnamed: 0,05-23-21,05-30-21
59,Jason Caron,Caron,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Paul Casey,Casey,41.0,,84.0,,,58.0,67.0,,85.0,,,,,54.0,,,0.0,0.0,99.0,61.0,31.0,78.0,,,74.0,,,0.0,12.0,56.0,,,38.0,,,,,90.0,,,96.0,,,,89.0,96.0,,,,67.0,0.0,84.0,,,3.0,96.0,
61,Ricky Castillo,Castillo,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Roberto Castro,Castro,,,,,,0.0,,86.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,67.0,,,,,85.0,,,,,,0.0,,,
63,John Catlin,Catlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,116.0,0.0,
64,Bud Cauley,Cauley,,0.0,97.0,0.0,78.0,,56.0,,,69.0,55.0,58.0,0.0,0.0,,0.0,42.0,,54.0,82.0,0.0,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Alex Cejka,Cejka,,,,,,78.0,,48.0,,,,,,,,,,34.0,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,66.0,,,,,,,,,
66,Greg Chalmers,Chalmers,,,0.0,,0.0,0.0,,,,0.0,,,,3.0,0.0,,,0.0,,0.0,,,,,,,0.0,,,,,28.0,,,,,,,,,0.0,,82.0,,,,,0.0,,,,,,0.0,,,
67,Cameron Champ,Champ,57.0,,84.0,88.0,,63.0,0.0,,,,0.0,81.0,,,84.0,1.0,0.0,,89.0,,0.0,7.0,30.0,,0.0,,,0.0,47.0,91.0,,,70.0,,,23.0,,0.0,0.0,0.0,,,,31.0,0.0,0.0,,,73.0,67.0,,,,63.0,137.0,0.0,0.0
68,Kevin Chappell,Chappell,,,0.0,,0.0,82.0,0.0,,,,26.0,,0.0,22.0,13.0,,,,,,,,,25.0,,0.0,67.0,0.0,,,,12.0,,2.0,,,,,,,0.0,,,,,,89.0,,0.0,,,,,0.0,,,
69,Gunn Charoenkul,Charoenkul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,K.J. Choi,Choi,,,,0.0,57.0,0.0,,,,,,,0.0,,,,0.0,12.0,,,,,,0.0,,,0.0,0.0,,,,,,0.0,37.0,,51.0,,55.0,,0.0,,,,,,0.0,0.0,78.0,,0.0,0.0,54.0,0.0,,,
71,Daniel Chopra,Chopra,,,,,,,,42.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,
72,Stewart Cink,Cink,,,0.0,62.0,,72.0,,,,62.0,33.0,,19.0,0.0,,76.0,18.0,34.0,,0.0,,,,100.0,,,83.0,5.0,,,96.0,0.0,,0.0,,23.0,85.0,,,54.0,0.0,0.0,,,,0.0,85.0,,,84.0,99.0,,74.0,,30.0,78.0,
73,Wyndham Clark,Clark,,,0.0,0.0,73.0,86.0,84.0,,,90.0,3.0,0.0,16.0,0.0,,,0.0,0.0,0.0,0.0,60.0,,,0.0,,,2.0,82.0,,,100.0,0.0,,66.0,,,,25.0,78.0,71.0,,92.0,,,0.0,0.0,0.0,,,,52.0,61.0,70.0,73.0,75.0,51.0,79.0
74,Keith Clearwater,Clearwater,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,,0.0
75,Tommy Cocha,Cocha,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Eric Cole,Cole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,
77,Tyler Collet,Collet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,152.0,0.0,
78,Erik Compton,Compton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,162.0,,79.0
79,Corey Conners,Conners,41.0,89.0,,,65.0,,0.0,,31.0,0.0,0.0,73.0,73.0,0.0,,43.0,72.0,,0.0,0.0,66.0,54.0,,,0.0,0.0,76.0,,22.0,91.0,,66.0,85.0,86.0,77.0,,,,75.0,85.0,,0.0,,,97.0,95.0,,,89.0,90.0,96.0,84.0,70.0,,17.0,87.0,79.0
80,Parker Coody,Coody,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Pierceson Coody,Coody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
82,Austin Cook,Cook,,,0.0,0.0,0.0,0.0,,61.0,,57.0,,,0.0,22.0,46.0,43.0,,19.0,,5.0,,,,30.0,,,0.0,100.0,,,,66.0,,0.0,13.0,,64.0,56.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,54.0,189.0,,0.0
83,Ben Cook,Cook,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,70.0,
84,Anthony Cordes,Cordes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
85,Cledy Cordoba,Cordoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
86,Franklin Corpening,Corpening,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Chris Couch,Couch,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
88,Fred Couples,Couples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,
89,Vince Covello,Covello,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Patrick Cover,Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
91,Ben Crane,Crane,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Aaron Crawford,Crawford,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Brandon Crick,Crick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
94,MJ Daffue,Daffue,,,,,,,,54.0,,,,,,,,69.0,,,,,,,,3.0,,,83.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,
95,Joel Dahmen,Dahmen,,89.0,,62.0,0.0,90.0,94.0,,,,94.0,73.0,37.0,72.0,,0.0,1.0,,89.0,,0.0,72.0,,30.0,0.0,,,14.0,52.0,91.0,,,,25.0,73.0,,,0.0,0.0,0.0,61.0,0.0,,,0.0,0.0,,99.0,48.0,,,,86.0,,54.0,63.0,0.0
96,John Daly,Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,153.0,0.0,
97,Cameron Davis,Davis,,93.0,79.0,74.0,,72.0,,74.0,,94.0,,0.0,,0.0,0.0,0.0,,84.0,,82.0,60.0,,,52.0,,,92.0,23.0,,,,1.0,,0.0,,,78.0,97.0,78.0,,91.0,61.0,,,0.0,0.0,76.0,,51.0,,79.0,0.0,80.0,,59.0,60.0,61.0
98,Brian Davis,Davis,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Jason Day,Day,,,,88.0,,97.0,0.0,,,,0.0,0.0,0.0,34.0,0.0,91.0,96.0,,96.0,,0.0,9.0,,,39.0,,,0.0,0.0,23.0,,91.0,0.0,83.0,,,,,0.0,0.0,94.0,,,73.0,73.0,75.0,,,,0.0,,,0.0,0.0,44.0,70.0,
